,	、
-	ー
.	。
[	「
]	」
a	あ
ba	ば
bb	っ	b
bd	べん
be	べ
bh	ぶう
bi	び
bj	ぶん
bk	びん
bl	ぼん
bo	ぼ
bp	ぼう
bq	ばい
bu	ぶ
bw	べい
bya	びゃ
byd	びぇん
bye	びぇ
byh	びゅう
byi	びぃ
byj	びゅん
byl	びょん
byo	びょ
byp	びょう
byq	びゃい
byu	びゅ
byw	びぇい
byz	びゃん
bz	ばん
ca	か
cc	っ	c
cd	ちぇん
ce	せ
ch	ちゅう
cha	ちゃ
che	ちぇ
chi	ち
cho	ちょ
chu	ちゅ
ci	し
cj	ちゅん
cl	ちょん
co	こ
cp	ちょう
cq	ちゃい
cu	く
cw	ちぇい
cya	ちゃ
cye	ちぇ
cyi	ちぃ
cyo	ちょ
cyu	ちゅ
cz	ちゃん
da	だ
dci	でぃ
dcj	どぅん
dck	でぃん
dcu	どぅ
dd	っ	d
dd	でん
de	で
df	で
dh	づう
dha	でゃ
dhe	でぇ
dhi	でぃ
dho	でょ
dhu	でゅ
di	ぢ
dj	づん
dk	ぢん
dl	どん
dm	でも
dn	だん
do	ど
dp	どう
dq	だい
ds	です
dt	だち
du	づ
dw	でい
dwa	どぁ
dwe	どぇ
dwi	どぃ
dwo	どぉ
dwu	どぅ
dya	ぢゃ
dyd	ぢぇん
dye	ぢぇ
dyh	ぢゅう
dyi	ぢぃ
dyj	ぢゅん
dyl	ぢょん
dyn	ぢゃん
dyo	ぢょ
dyp	ぢょう
dyq	ぢゃい
dyu	ぢゅ
dyw	ぢぇい
dyz	ぢゃん
dz	だん
e	え
fa	ふぁ
fd	ふぇん
fe	ふぇ
ff	っ	f
fh	ふう
fi	ふぃ
fj	ふん
fk	ふぃん
fl	ふぉん
fo	ふぉ
fp	ふぉー
fq	ふぁい
fu	ふ
fw	ふぇい
fya	ふゃ
fyo	ふょ
fyu	ふゅ
fz	ふぁん
ga	が
gd	げん
ge	げ
gg	っ	g
gh	ぐう
gi	ぎ
gj	ぐん
gk	ぎん
gl	ごん
gn	がん
go	ご
gp	ごう
gq	がい
gr	がら
gt	ごと
gu	ぐ
gw	げい
gwa	ぐぁ
gwe	ぐぇ
gwi	ぐぃ
gwo	ぐぉ
gwu	ぐぅ
gya	ぎゃ
gyd	ぎぇん
gye	ぎぇ
gyh	ぎゅう
gyi	ぎぃ
gyj	ぎゅん
gyl	ぎょん
gyn	ぎゃん
gyo	ぎょ
gyp	ぎょう
gyq	ぎゃい
gyu	ぎゅ
gyw	ぎぇい
gyz	ぎゃん
gz	がん
ha	は
hd	へん
he	へ
hf	ふ
hga	ひゃ
hgd	ひぇん
hge	ひぇ
hgh	ひゅう
hgj	ひゅん
hgl	ひょん
hgn	ひゃん
hgo	ひょ
hgp	ひょう
hgq	ひゃい
hgu	ひゅ
hgw	ひぇい
hgz	ひゃん
hh	っ	h
hh	ふう
hi	ひ
hj	ふん
hk	ひん
hl	ほん
hn	はん
ho	ほ
hp	ほう
hq	はい
ht	ひと
hu	ふ
hw	へい
hwa	ふぁ
hwe	ふぇ
hwi	ふぃ
hwo	ふぉ
hwyu	ふゅ
hya	ひゃ
hyd	ひぇん
hye	ひぇ
hyh	ひゅう
hyi	ひぃ
hyj	ひゅん
hyl	ひょん
hyn	ひゃん
hyo	ひょ
hyp	ひょう
hyq	ひゃい
hyu	ひゅ
hyw	ひぇい
hyz	ひゃん
hz	はん
i	い
ja	じゃ
jd	じぇん
je	じぇ
jf	じゅ
jh	じゅう
ji	じ
jj	っ	j
jj	じゅん
jk	じん
jl	じょん
jn	じゃん
jo	じょ
jp	じょう
jq	じゃい
ju	じゅ
jw	じぇい
jya	じゃ
jye	じぇ
jyi	じぃ
jyo	じょ
jyu	じゅ
jz	じゃん
ka	か
kd	けん
ke	け
kf	き
kga	きゃ
kgd	きぇん
kge	きぇ
kgh	きゅう
kgj	きゅん
kgl	きょん
kgn	きゃん
kgo	きょ
kgp	きょう
kgq	きゃい
kgu	きゅ
kgw	きぇい
kgz	きゃん
kh	くう
ki	き
kj	くん
kk	っ	k
kk	きん
kl	こん
km	かも
kn	かん
ko	こ
kp	こう
kq	かい
kr	から
kt	こと
ku	く
kw	けい
kwa	くぁ
kwe	くぇ
kwi	くぃ
kwo	くぉ
kwu	くぅ
kya	きゃ
kyd	きぇん
kye	きぇ
kyh	きゅう
kyi	きぃ
kyj	きゅん
kyl	きょん
kyn	きゃん
kyo	きょ
kyp	きょう
kyq	きゃい
kyu	きゅ
kyw	きぇい
kyz	きゃん
kz	かん
la	ぁ
ld	ぇん
le	ぇ
lh	ぅう
li	ぃ
lj	ぅん
lk	ぃん
lka	ヵ
lke	ヶ
ll	っ	l
ll	ぉん
ln	ぁん
lo	ぉ
lp	ぉう
lq	ぁい
ltsu	っ
ltu	っ
lu	ぅ
lw	ぇい
lwa	ゎ
lya	ゃ
lye	ぇ
lyh	ゅう
lyi	ぃ
lyj	ゅん
lyl	ょん
lyn	ゃん
lyo	ょ
lyp	ょう
lyq	ゃい
lyu	ゅ
lyz	ゃん
lz	ぁん
ma	ま
md	めん
me	め
mga	みゃ
mgd	みぇん
mge	みぇ
mgh	みゅう
mgj	みゅん
mgl	みょん
mgn	みゃん
mgo	みょ
mgp	みょう
mgq	みゃい
mgu	みゅ
mgw	みぇい
mgz	みゃん
mh	むう
mi	み
mj	むん
mk	みん
ml	もん
mm	っ	m
mo	も
mp	もう
mq	まい
mu	む
mw	めい
mya	みゃ
myd	みぇん
mye	みぇ
myh	みゅう
myi	みぃ
myj	みゅん
myl	みょん
myo	みょ
myp	みょう
myq	みゃい
myu	みゅ
myw	みぇい
myz	みゃん
mz	まん
n	ん
na	な
nd	ねん
ne	ね
nga	にゃ
ngd	にぇん
nge	にぇ
ngh	にゅう
ngj	にゅん
ngl	にょん
ngn	にゃん
ngo	にょ
ngp	にょう
ngq	にゃい
ngu	にゅ
ngw	にぇい
ngz	にゃん
nh	ぬう
ni	に
nj	ぬん
nk	にん
nl	のん
nn	ん
no	の
np	のう
nq	ない
nu	ぬ
nw	ねい
nya	にゃ
nyd	にぇん
nye	にぇ
nyh	にゅう
nyi	にぃ
nyj	にゅん
nyl	にょん
nyo	にょ
nyp	にょう
nyq	にゃい
nyu	にゅ
nyw	にぇい
nyz	にゃん
nz	なん
o	お
pa	ぱ
pd	ぺん
pe	ぺ
pf	ぽん
pga	ぴゃ
pgd	ぴぇん
pge	ぴぇ
pgh	ぴゅう
pgj	ぴゅん
pgl	ぴょん
pgn	ぴゃん
pgo	ぴょ
pgp	ぴょう
pgq	ぴゃい
pgu	ぴゅ
